[251857.268900] usb 1-1: USB disconnect, device number 8
[251987.656702] iterate_tasks: module license 'unspecified' taints kernel.
[251987.656703] Disabling lock debugging due to kernel taint
[251987.656991] Loading Kernel Module
[252069.548436] task command: idle_inject/6, state: 1, process id: 46
[252069.548436] task command: migration/6, state: 1, process id: 47
[252069.548437] task command: ksoftirqd/6, state: 1, process id: 48
[252069.548437] task command: kworker/6:0H, state: 1026, process id: 50
[252069.548438] task command: cpuhp/7, state: 1, process id: 51
[252069.548438] task command: idle_inject/7, state: 1, process id: 52
[252069.548439] task command: migration/7, state: 1, process id: 53
[252069.548440] task command: ksoftirqd/7, state: 1, process id: 54
[252069.548440] task command: kworker/7:0H, state: 1026, process id: 56
[252069.548441] task command: kdevtmpfs, state: 1, process id: 57
[252069.548442] task command: netns, state: 1026, process id: 58
[252069.548442] task command: rcu_tasks_kthre, state: 1, process id: 59
[252069.548443] task command: kauditd, state: 1, process id: 60
[252069.548443] task command: khungtaskd, state: 1, process id: 62
[252069.548444] task command: oom_reaper, state: 1, process id: 63
[252069.548445] task command: writeback, state: 1026, process id: 64
[252069.548445] task command: kcompactd0, state: 1, process id: 65
[252069.548446] task command: ksmd, state: 1, process id: 66
[252069.548446] task command: khugepaged, state: 1, process id: 67
[252069.548447] task command: crypto, state: 1026, process id: 68
[252069.548448] task command: kintegrityd, state: 1026, process id: 69
[252069.548448] task command: kblockd, state: 1026, process id: 70
[252069.548449] task command: tpm_dev_wq, state: 1026, process id: 73
[252069.548449] task command: ata_sff, state: 1026, process id: 74
[252069.548450] task command: md, state: 1026, process id: 75
[252069.548451] task command: edac-poller, state: 1026, process id: 76
[252069.548451] task command: devfreq_wq, state: 1026, process id: 79
[252069.548452] task command: watchdogd, state: 1, process id: 80
[252069.548452] task command: kswapd0, state: 1, process id: 84
[252069.548453] task command: kworker/u17:0, state: 1026, process id: 85
[252069.548454] task command: ecryptfs-kthrea, state: 1, process id: 86
[252069.548454] task command: kthrotld, state: 1026, process id: 176
[252069.548455] task command: irq/122-pciehp, state: 1, process id: 177
[252069.548456] task command: acpi_thermal_pm, state: 1026, process id: 179
[252069.548456] task command: ipv6_addrconf, state: 1026, process id: 181
[252069.548457] task command: kstrp, state: 1026, process id: 193
[252069.548458] task command: charger_manager, state: 1026, process id: 212
[252069.548458] task command: scsi_eh_0, state: 1, process id: 272
[252069.548459] task command: scsi_tmf_0, state: 1026, process id: 273
[252069.548459] task command: scsi_eh_1, state: 1, process id: 274
[252069.548460] task command: scsi_tmf_1, state: 1026, process id: 275
[252069.548460] task command: scsi_eh_2, state: 1, process id: 276
[252069.548461] task command: scsi_tmf_2, state: 1026, process id: 277
[252069.548461] task command: kworker/4:1H, state: 1026, process id: 280
[252069.548462] task command: kworker/3:1H, state: 1026, process id: 308
[252069.548463] task command: kworker/5:1H, state: 1026, process id: 310
[252069.548464] task command: jbd2/sda7-8, state: 1, process id: 311
[252069.548464] task command: ext4-rsv-conver, state: 1026, process id: 312
[252069.548465] task command: kworker/7:1H, state: 1026, process id: 314
[252069.548465] task command: kworker/0:1H, state: 1026, process id: 319
[252069.548466] task command: kworker/6:1H, state: 1026, process id: 323
[252069.548466] task command: kworker/1:1H, state: 1026, process id: 325
[252069.548467] task command: kworker/2:1H, state: 1026, process id: 331
[252069.548467] task command: systemd-journal, state: 1, process id: 354
[252069.548468] task command: loop0, state: 1, process id: 384
[252069.548469] task command: loop1, state: 1, process id: 385
[252069.548469] task command: loop2, state: 1, process id: 387
[252069.548470] task command: loop3, state: 1, process id: 390
[252069.548471] task command: loop4, state: 1, process id: 392
[252069.548471] task command: systemd-udevd, state: 0, process id: 402
[252069.548472] task command: loop5, state: 1, process id: 403
[252069.548472] task command: loop6, state: 1, process id: 404
[252069.548473] task command: loop7, state: 1, process id: 406
[252069.548473] task command: loop8, state: 1, process id: 407
[252069.548474] task command: loop9, state: 1, process id: 408
[252069.548474] task command: loop10, state: 1, process id: 409
[252069.548475] task command: loop11, state: 1, process id: 410
[252069.548475] task command: loop12, state: 1, process id: 411
[252069.548476] task command: loop13, state: 1, process id: 412
[252069.548477] task command: loop14, state: 1, process id: 413
[252069.548477] task command: loop15, state: 1, process id: 414
[252069.548478] task command: loop16, state: 1, process id: 415
[252069.548478] task command: irq/67-smo8800, state: 1, process id: 443
[252069.548479] task command: cfg80211, state: 1026, process id: 467
